nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)","71,8","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"15,1","14,9","2,4","0,94","0,013","6,3","0,07","0,17",20,15,"0,2","9,6",130,20,5,"0,11",0,"21,2",0,"0,08","0,8",0,"18,3","0,084","0,022","0,23","0,19","0,055","25,4",0
"Ananas, pulpe, cru","54,4","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"11,7","10,5","1,2","0,5","0,013",8,"0,06","0,17",20,15,"0,84","8,1",140,20,5,"0,08",0,"66,9",0,"0,08","0,8",0,"46,1","0,056","0,033","0,31","0,17","0,052","19,6",0
"Ananas, pulpe, cru , prélevé à la Martinique","2,24",0,0,0,0,0,0,0,0,0,0,0,"0,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,3",0,0,0,0,0,0,0
"Anchois au sel (anchoité, semi0conserve)",128,"3,1","0,82",0,0,0,0,0,70,0,0,0,25,"9,01",542,0,"6,9",0,0,0,481,215,0,3600,"1,7",55,0,"4,6","0,29",0,0,0,"0,06","0,26",14,0,"0,14",8,0
"Anchois commun, cru",129,"6,07","1,64","0,89","0,17","0,073","0,48","0,93",124,0,0,0,"18,6","0,18","86,5","0,38","2,63",55,"22,3","0,23",162,294,"21,3",73,"1,86","65,7",0,11,"0,57","0,1",0,0,"0,061","0,32","12,7","0,65","0,14",9,"0,62"
"Anchois commun, mariné, préemballé",136,"3,26","1,04","0,57","0,33","0,026","0,35","0,54",105,"2,7",0,0,"23,9","5,58",120,"0,17","2,8",8,102,"0,14",148,159,46,2230,"1,95",11,0,"2,4","1,1",0,0,0,"0,04","0,2","2,75","0,41","0,18",37,"15,3"
"Anchois, filets à l'huile, semi0conserve, égoutté",182,"8,45","3,08","3,42","0,34","0,053","0,41","0,58","75,5","0,2",0,"0,25","26,4","11,3",189,"0,25","3,22",30,"43,7","0,1",231,355,8,4210,"2,92",5,0,"1,7","1,16","12,1",0,"0,5","0,04","0,25","3,9","0,63","0,37","14,5","20,9"
"Anchois, filets roulés aux câpres, semi0conserve, égoutté",198,"10,3","0,86",0,"3,78","0,028","0,0073","0,026",0,"1,48",0,1,"24,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andouille,211,"15,1",0,0,0,0,0,0,0,"0,3",0,0,"18,4","2,08",0,0,0,2,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andouille de Guéméné,234,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andouille de Vire,238,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andouille, réchauffée à la poêle",271,20,"9,29","7,25","1,37","0,087",0,0,330,0,"0,2",1,"22,5","2,82",18,"0,2","2,4",24,"12,2","0,1",150,104,24,1130,"3,4",11,16,"0,5","0,48",0,0,1,"0,056","0,28","1,55","0,48","0,12",20,"1,35"
"Andouillette de Troyes, à cuire",254,19,"7,91",0,"1,75","0,12",0,0,310,"0,5","0,5","0,9","19,7","1,97","26,1","0,2","2,8",0,"9,4","0,2",110,"58,4",22,830,"2,6",0,0,"0,25","0,55",0,0,0,"0,02",0,"0,8",0,"0,1",2,"0,5"
"Andouillette, à cuire",227,"16,3","6,94",0,"1,26","0,12",0,0,284,1,"0,5","0,71","18,8","1,46","34,1","0,28","1,67",2,"12,5","0,16",112,"55,6","18,3",584,"2,6",0,0,"0,25","0,39",0,0,0,"0,028","0,15","0,81",0,"0,1","1,2","0,49"
"Andouillette, sautée/poêlée",303,"22,3","11,1","7,76","2,27","0,2",0,0,344,1,"0,2",1,"24,5","2,73","35,6","0,2","2,3",15,"9,6","0,1","98,3",64,19,1090,"4,3",52,30,"0,5","0,41",0,0,1,"0,035","0,15","0,96","0,24","0,09",20,"0,91"
"Aneth, frais","48,2","1,1","0,27","0,54","0,056","0,0087",0,0,0,"3,9","1,2","3,5","3,93","0,15",202,"0,22","5,5","3,9",28,"2,7","51,9",647,"2,7",27,"1,8",0,0,0,"1,7",0,0,70,"0,19","0,43","2,4","0,3","0,3",116,0
"Anguille, bouillie/cuite à l'eau",197,"12,7","3,28",0,0,0,"0,24","0,47",0,0,0,0,"20,5",0,0,"0,029",0,8,0,"0,04",0,0,28,0,"2,08",0,0,0,"5,1",0,0,0,0,0,0,0,0,0,0
"Anguille, crue",232,"18,6","3,89","5,28","0,66","0,21","0,49","0,68",120,0,0,0,"16,1","0,16","23,6","0,041","0,71","36,3",18,"0,078",285,260,"28,7","65,5","2,27",1280,0,16,6,"1,25",0,"1,6","0,17","0,24","3,16","0,17","0,21","13,8","2,8"
"Anguille, cuite (aliment moyen)",213,"13,8","3,15",0,0,0,"0,2","0,37",0,0,0,0,"22,1",0,0,"0,029",0,8,0,"0,04",0,0,0,0,"2,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguille, rôtie/cuite au four",229,15,"3,02",0,0,0,"0,17","0,28",161,0,0,0,"23,6","0,16",26,"0,029","0,64",8,26,"0,04",277,349,0,65,"2,08",1140,0,0,0,0,0,"1,8","0,18","0,051","4,49","0,28","0,077",17,"2,89"
"Anone ou chérimole, pulpe, crue","74,24","0,64","0,23","0,021","0,028","0,16",0,0,0,"15,4","12,9","2,65","1,72","0,018",9,"0,069","0,29","0,4",17,"0,093",26,287,0,7,"0,16",0,2,0,"0,27",0,0,"12,1","0,096","0,13","0,61","0,35","0,26",23,0
"Ao0nori (Enteromorpha sp.), séchée ou déshydratée",224,"2,47","0,23",0,0,0,0,0,0,"18,8",0,36,"13,7","11,9",1610,"1,21",234,9390,2440,"24,7",1040,1850,"10,7",4760,"6,08",0,0,0,11,0,0,"35,4","0,29","1,1","4,77",0,0,"39,6","30,6"
