nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
Apéritif à base de vin ou vermouth,"45,416",0,0,0,0,0,0,0,0,"11,3","11,1",0,"0,054","0,038","7,37","0,1","0,44","1,2",7,0,"6,25",48,0,15,"0,035",0,0,0,0,0,0,0,0,0,"0,045",0,"0,0075",0,"0,0033"
Apéritif anisé sans alcool,4,0,0,0,0,0,0,0,0,1,"0,03",1,0,"0,038","1,83",0,0,"1,2","0,33","0,004",0,"3,9",0,15,"0,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachide, bouillie/cuite à l'eau, salée","298,16",22,"3,06",0,0,0,0,0,0,"9,54","2,47","8,8","15,5","1,88",55,"0,5","1,01",0,102,"1,02",198,180,0,751,"1,83",0,0,0,"4,1",0,0,0,"0,26","0,063","5,26","0,83","0,15",75,0
"Araignée de mer, cuite","107,4","3,8","1,14","0,44","0,03","0,01","0,52","0,35",115,0,0,0,"18,3","0,96",230,"0,91",2,80,64,"0,07",250,260,110,385,"5,9",21,0,"0,25","6,42","0,8",0,"0,5","0,015","1,25","1,43","0,79","0,12","95,1","9,13"
"Artichaut, appertisé, égoutté","33,8","0,2",0,0,0,0,0,0,0,"6,5","1,5",3,"1,5","0,8",0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artichaut, coeur, appertisé, égoutté",26,"0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"2,31","1,2","3,2","1,8","0,78",25,"0,07","0,4",20,18,"0,13",34,150,20,310,"0,28",0,"24,6","0,25","1,12","6,29",0,"12,2","0,021","0,03","0,39","0,13","0,026","54,3",0
"Artichaut, cru","34,1","0,18","0,036",0,0,0,0,0,0,"4,92","0,99","5,4","3,2","0,15",52,"0,23","1,19","0,5","47,8","0,26","81,2",387,"0,23","60,5","0,49",0,8,0,"0,27","14,8",0,"11,7","0,081","0,063","1,05","0,32","0,11",68,0
"Artichaut, cuit","16,6","0,28","0,069","0,0029","0,11","0,025",0,0,0,"0,99","0,99","8,3","2,53","0,15","42,9","0,082","0,67",5,"44,6","0,14",73,427,10,60,"0,29",0,8,0,"0,19","14,8",0,"9,1","0,05","0,089","1,11","0,24","0,081",89,0
"Artichaut, cuit à la vapeur sous pression","47,3","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"3,24","1,9","10,9","2,63","0,068",42,"0,05","0,7",20,41,"0,17",56,480,20,27,"0,27",0,"43,4",0,"0,08","1,47",0,"0,5","0,03","0,023","0,82","0,35","0,086","52,6",0
"Artichaut, fond, appertisé, égoutté","25,2","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"3,02","0,8","2,6","1,2","0,73",36,"0,06","0,36",20,20,"0,05",26,140,20,293,"0,2",0,"10,7","0,25","0,42","1,57",0,18,"0,041","0,01","0,2","0,09","0,22","53,6",0
"Artichaut, fond, surgelé, cru","44,55","0,43","0,1",0,0,0,0,0,0,"8,09","1,89","7,54","2,08","0,18",0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",211,"2,78",0,0,0,0,0,0,0,"18,5",0,"41,8","7,22","7,15",1650,"0,72","21,8",68200,836,"2,52",162,2270,"6,69",2860,"6,45",0,3730,"0,89",14,1020,0,"94,8","0,31","0,96","2,74","0,018","5,61","22,7","2,11"
Asiago,356,"25,6","15,9",0,0,0,0,0,90,0,0,0,"32,1","1,9",770,0,"0,7",0,0,0,530,97,0,760,"2,2",175,150,"0,19","0,48",0,0,0,"0,03","0,35","0,1",0,"0,09",40,0
"Asperge blanche, bouillie/cuite à l'eau","18,6","0,3","0,1","0,08","0,08","0,01","0,01","0,01",0,"1,63","1,2","1,3","1,44","0,013",15,"0,09","0,26",20,"7,1","0,07",29,120,20,5,"0,3",0,"19,1",0,"0,39","0,8",0,"5,16","0,04","0,018","0,15","0,1","0,029","66,8",0
"Asperge verte, bouillie/cuite à l'eau","26,6","0,3","0,07","0,01","0,13","0,06","0,01","0,01",0,"1,73","1,3","2,2","2,69","0,013",21,"0,11","0,64",20,10,"0,13",49,220,20,5,"0,49",0,438,0,"1,5","12,5",0,"4,73","0,067","0,056","0,7","0,24","0,046","69,9",0
"Asperge, appertisée, égouttée","14,47","0,27","0,085","0,002","0,05","0,004",0,0,0,"1,43","1,23","1,5","1,58","0,73","15,8","0,076","1,09","0,7","8,5","0,16",35,142,"0,2",291,"0,42",0,493,0,"0,74","41,3",0,"18,4","0,046","0,07","0,63","0,1","0,11",72,0
"Asperge, blanche ou violette, pelée, crue","22,7","0,3","0,07","0,005","0,15","0,014",0,0,0,"2,5",0,"1,8","2,5","0,019","16,6",0,0,0,"7,3",0,"42,5",169,0,"7,7",0,0,0,0,0,0,0,18,0,0,0,0,"0,072",150,0
"Asperge, bouillie/cuite à l'eau","16,84","0,32","0,072",0,0,0,0,0,0,"0,81","0,81","1,8","2,68","0,021","19,9","0,074","0,74","0,25","6,31","0,049","51,5",198,"3,35","8,5","0,2",0,544,0,"1,35","65,3",0,"16,1","0,11","0,12","1,06","0,19","0,05",142,0
"Asperge, pelée, crue","19,65","0,21","0,051","0,004","0,09","0,0081",0,0,0,"2,4","1,88","1,95","2,04","0,011",22,"0,12","1,32","0,15","11,5","0,16",52,202,1,"4,2","0,49",0,449,0,"0,72","40,3",0,"8,8","0,13","0,12","0,99","0,17","0,076",101,0
"Asperge, verte, crue","20,39","0,27","0,069","0,005","0,15","0,013",0,0,0,"2,03","1,5","2,15","2,46","0,014","22,4",0,1,0,"12,2",0,"85,5",267,0,"3,85",0,0,0,0,0,0,0,"15,5",0,0,0,0,"0,15",150,0
"Aubergine, crue","15,3","0,14","0,034","0,011","0,067","0,0091",0,0,0,"2,39","2,39","2,7","1,12","0,0063","8,7","0,081","0,32","0,15",12,"0,24","27,2",235,"0,2","2,5","0,16",0,14,0,"0,17","3,5",0,"2,1","0,045","0,034","0,72","0,25","0,082","24,5",0
"Aubergine, cuite","24,52","0,28","0,052","0,012","0,12",0,0,0,0,"4,17","3,41","4,3","1,33","0,015","20,1","0,058","0,25",1,15,"0,12",15,123,"3,35","5,95","0,098",0,22,0,"0,41","2,9",0,"1,3","0,076","0,02","0,6","0,075","0,086",14,0
"Aubergine, pulpe et peau, rôtie/cuite au four","33,8","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"3,83","3,4","1,9","1,31","0,013",13,"0,08","0,59",20,20,"0,15",31,310,20,5,"0,14",0,"60,2",0,"0,08","0,8",0,"0,5","0,015","0,01","0,42","0,52","0,053",5,0
"Autruche, viande crue",159,"8,7",0,0,0,0,0,0,71,0,0,0,"20,2","0,18",7,"0,13","2,91",0,20,"0,017",199,291,0,72,"3,51",0,0,0,"0,24",0,0,0,"0,18","0,27","4,38","1,08","0,48",7,"4,61"
"Autruche, viande cuite",168,"7,07",0,0,0,0,0,0,83,0,0,0,"26,2","0,2",8,"0,14","3,43",0,23,"0,017",224,323,0,80,"4,33",0,0,"0,1","0,24","3,5",0,0,"0,21","0,27","6,56","1,21","0,5",14,"5,74"
"Avocat, pulpe, cru",205,"20,6","4,51","8,72","2,68","0,15","0,01","0,01","0,5","0,83","0,4","3,6","1,56","0,015","9,4","0,18","0,34",20,21,"0,2",38,430,20,6,"0,43",0,5,0,"2,23","14,5",0,"0,5","0,052","0,037","1,56","1,07","0,17","70,4",0
"Avoine, crue",378,"6,9","1,22","2,17","1,65","0,073",0,0,0,"55,7","1,2","10,6","16,9","0,005",54,"0,63","4,72",0,177,"4,92",523,429,9,2,"3,97",0,0,0,"1,09",0,0,0,"0,76","0,14","0,96","1,35","0,12",56,0
Baba au rhum,"243,3","9,9","6,42","2,08","0,26","0,05","0,01","0,01",47,"36,3","29,9","0,8","2,25","0,22",24,"0,04","0,7",10,"6,7","0,07",41,60,20,87,"0,23","76,5","34,1","0,25","0,41","1,88",0,"0,82","0,015","0,1","0,1","0,26","0,016","6,37","0,14"
"Baba au rhum, préemballé",169,"3,86","2,77",0,"0,16","0,013",0,0,0,"23,6","18,2","0,87","2,83","0,24",0,0,0,0,0,0,0,0,0,"96,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel,272,"3,98","1,02",0,0,0,0,0,0,"47,3","5,36","3,42","9,26","1,08","37,3","0,17","1,83",0,"36,3","0,84",111,122,0,410,"0,95",0,2,0,"0,32","1,5",0,0,"0,24","0,1","2,3","0,37","0,083",25,0
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),"458,9","24,5","4,7","13,8","5,26","0,077",0,0,37,"49,2","39,6",1,"10,4","0,075","98,3","0,4","1,5",20,95,"0,9",125,255,5,"29,8","1,12",92,26,"0,18","6,55",0,0,"0,4","0,062","0,3","1,2","0,16","0,18",24,"0,02"
"Bambou, pousse, crue","35,1","0,2","0,053",0,0,0,0,0,0,"5,08",3,"1,45","2,52","0,01","15,5","0,19","0,4",0,3,"0,26","54,5",517,0,4,"1,1",0,12,0,1,0,0,"7,5","0,095","0,095","0,55","0,16","0,24",7,0
"Bambou, pousses, appertisées, égouttées","15,39","0,15","0,041",0,0,0,0,0,0,"1,9","1,15","1,25","1,61","0,19",17,"0,098","0,24",0,"3,5","0,14","26,8",196,0,"74,1","0,56",0,8,0,"0,63",0,0,"1,1","0,017","0,039","0,16","0,079","0,12","2,5",0
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique","4,753","0,057",0,0,0,0,0,0,0,0,0,0,"1,06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,07",0,0,0,0,0,0,0
"Banane plantain, crue","127,03","0,39","0,14",0,0,0,0,0,0,"29,6",0,"2,3","1,28","0,01",3,"0,081","0,6","2,5",37,0,34,499,0,4,"0,14",0,457,0,"0,14","0,7",0,"18,4","0,052","0,054","0,69","0,26","0,3",22,0
"Banane plantain, cuite",125,"0,18","0,069",0,0,0,0,0,0,"28,9",14,"2,3","0,79","0,013",2,"0,066","0,58",0,32,0,28,465,0,5,"0,13",0,369,0,"0,13","0,7",0,"10,9","0,046","0,052","0,76","0,23","0,24",26,0
"Banane, pulpe, crue","90,5","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"19,7","15,6","2,7","1,06","0,013","5,1","0,06","0,2",20,28,"0,36",29,320,20,5,"0,14",0,"28,5",0,"0,08","0,8",0,"7,16","0,054","0,01","0,39","0,31","0,18",19,0
"Banane, pulpe, sèche","345,45","1,81","0,7",0,0,0,0,0,0,"78,4","47,3","9,9","3,89","0,0075",22,"0,39","1,15",3,108,"0,57",74,1490,0,3,"0,61",0,101,0,"0,39",2,0,7,"0,18","0,24","2,8",0,"0,44",14,0
"Bar commun ou loup (Méditerranée), cru, élevage",124,"4,25","1,04","0,57","0,24","0,038","0,4","0,54","56,8",0,0,0,"21,4","0,12","5,6","0,1","0,39","9,36","32,3","0,1",209,430,"7,57","46,6","0,41","14,7","0,0063","2,31","1,35",0,0,0,"0,18","0,09","6,79","0,53","0,39",0,"4,33"
"Bar commun ou loup (Méditerranée), cru, sauvage","97,9","1,94","0,49","0,26","0,015","0,008","0,13","0,28","58,1",0,0,0,"20,1","0,18","1,56","0,1","0,4","23,3","28,3","0,1",191,371,"25,4","71,4","0,43","5,6",0,"3,65","0,71",0,0,0,"0,064","0,098","3,72","0,33","0,39",0,"4,16"
"Bar commun ou loup, cru, sans précision","82,5","0,7","0,2","0,14","0,02","0,01","0,04","0,12","47,6",0,0,0,"19,1","0,23",10,"0,04","0,26","21,9",27,"0,01",207,390,30,"92,3","0,3",21,0,"5,59","0,79","0,8",0,"0,66","0,025","0,058","3,67","0,55","0,34","22,2","3,12"
"Bar commun ou loup, rôti/cuit au four",147,"6,51","1,27","1,45","0,56","0,15","0,35","0,5","63,3",0,0,0,"22,2","0,17",11,"0,05","0,28","13,4","30,3","0,01",183,410,50,"68,8","0,42",21,0,"4,15","0,97","0,8",0,0,"0,17","0,08","3,49","0,53","0,26","12,6","3,7"
"Bar ou loup de l'Atlantique, cru","89,9","2,61","0,42","0,47","0,036","0,015","0,38","0,29",50,0,0,0,"16,6","0,25","20,3","0,04","0,72",60,"26,4","0,013",185,286,"57,5",99,"0,74","49,7",0,"0,77","2,4",0,0,0,"0,19","0,064","2,33","0,57","0,37",3,"2,08"
"Bar rayé ou bar d'Amérique, cru",113,"3,58","0,76",0,0,0,"0,24","0,47","78,3",0,0,0,"20,3","0,19",66,"0,081","1,41",60,36,"0,68",218,356,0,"76,3","0,63","30,7",0,0,0,0,0,"2,05","0,087","0,065","1,62","0,79","0,19","13,7","2,71"
"Barre à la noix de coco, enrobée de chocolat",475,"23,8","18,3","3,86","0,49","0,023",0,0,"5,5","60,2",53,3,"3,88","0,5","78,8","0,3","1,8",11,"46,8","0,6",103,331,1,200,"0,8",8,11,"0,5","0,18",0,0,"0,5","0,042","0,18","0,47","0,27","0,21",25,"0,17"
"Barre biscuitée fourrée aux fruits, allégée en matière grasse","380,16","7,12","2,64","3,39","0,7","0,015","0,0043","0,005",0,"75,7","41,9",3,"3,32","0,42",0,0,0,0,0,0,0,0,0,167,0,0,0,0,"2,8",0,0,0,"0,29",0,0,0,0,0,0
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",379,"6,53","3,5",0,0,0,0,0,0,"72,8","30,2","4,13","6,13","0,75",511,0,"8,05",20,20,0,85,140,15,297,"0,85",0,0,0,"2,8",0,0,50,"1,07","1,25","14,4","5,1","1,45",169,"1,47"
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",418,"10,9","6,65",0,0,0,0,0,0,"72,9","32,4","3,7","5,99","0,7",607,0,"6,94",0,35,0,105,180,0,277,1,0,0,"1,1",10,0,0,"56,7","0,91","1,07","12,1","4,8","1,26",140,"1,01"
Barre céréalière aux amandes ou noisettes,444,"18,2","4,03","10,2","2,74","0,12","0,01","0,01",0,"60,6","20,4","4,6","8,69","0,45",37,"0,32","1,7",7,73,"1,8",190,240,20,179,"1,4",0,"8,59","0,25","4,2","2,17",0,"0,5","0,11","0,015","0,43","0,52","0,074","25,4","0,7"
Barre céréalière aux fruits,377,"7,07","3,44","2,23","0,96","0,13","0,0051","0,0072",0,"73,5","29,6","3,8","5,49","0,63",84,"0,38","2,18",20,91,"1,2",241,392,0,249,"1,6",0,0,0,"2,5",0,0,0,"0,19","0,19","2,61","0,43","0,12",30,"0,24"
Barre céréalière chocolatée,451,"14,9","7,37","3,39","0,88","0,1","0,0049","0,0049","3,3",73,"32,9","4,5","6,55","0,51",260,"0,28","3,1",4,45,"0,6",280,217,5,201,1,6,11,"0,62","1,45","16,4",0,"0,5","0,58","0,56","6,8","0,33","0,81",74,"0,2"
Barre céréalière chocolatée aux fruits,"410,6","11,8","7,45",0,"0,62","0,025","0,015","0,015",0,"70,4","34,8","4,04","5,7","0,56",0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,"41,2","0,6","0,75","8,3",0,"0,9","99,5","0,43"
Barre céréalière diététique hypocalorique,386,"11,2","9,6",0,"0,2",0,0,0,0,"65,3","8,5","5,8","5,9","0,75",281,"0,57","6,55",43,"95,1","0,58",354,763,"25,5",300,"5,54",0,0,"2,3","4,04",0,0,"22,4","0,55","0,73","8,18","2,01","0,79",73,"0,65"
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",382,"3,2","1,74","0,89","0,33","0,02","0,01","0,01",0,"79,5","28,1","4,5","7,06","0,54",752,0,"9,65",7,30,0,150,320,0,217,"0,97",0,0,0,0,0,0,0,"0,99","1,11","12,4","4,2","1,4",138,"0,69"
Barre chocolat au lait avec nougat,532,29,"17,4","8,51","1,01","0,09","0,01","0,01","25,3","60,5","60,1","2,9","5,8","0,11",150,"0,28","2,3",20,50,"0,36",160,260,20,"45,3","0,97","55,6","31,5","0,25","0,84","3,32",0,"0,5","0,073","0,21","0,11","0,71","0,07","19,2","0,37"
Barre chocolatée aux fruits secs,494,26,"9,53","5,76","0,92","0,057",0,0,"5,55","57,6","45,1","1,53","7,23","0,38",122,"0,4","1,3","4,96","13,6",0,198,"47,3","2,8",151,"0,64",1,0,"0,03","4,34",0,0,0,"0,036","0,19","0,084","0,47","0,035","0,11","0,3"
Barre chocolatée biscuitée,523,"28,1",16,"7,62","1,08","0,11",0,"0,01","5,89","60,5","46,9","1,93","6,14","0,39",263,"0,18","1,76","5,84",45,"0,3",234,356,10,155,"0,63",188,0,"0,058","3,74",0,0,"0,62","0,089","0,2","0,97","0,46","0,09","2,31","0,32"
Barre chocolatée non biscuitée enrobée,496,"24,1","13,5","7,77","1,28","0,086","0,014","0,011","24,6","66,4","60,5","0,6","3,7","0,5","99,8","0,15","3,59","15,6","50,9","0,13",155,42,"2,2",200,"0,56",200,0,"0,046","11,2",0,0,"0,54","0,049","0,22","0,14","0,31","0,037","0,47","0,33"
Barre glacée chocolatée,359,"21,4","15,2","4,25","1,26","0,07",0,0,"8,8","35,8","27,7","1,31","5,12","0,29",145,"0,2","1,1",16,"40,3","0,2",48,251,5,115,"1,1",58,42,"0,5","1,5",0,0,1,"0,067","0,32","0,82","0,56","0,13","0,87","0,26"
Barre goûter frais au lait et chocolat,"447,74","28,5",17,"8,62","1,15","0,05","0,01","0,01",0,41,"32,8","1,6","6,81","0,17",323,0,0,0,45,0,270,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre goûter frais au lait et chocolat avec génoise,"490,52","34,2","19,7","10,7","1,63","0,16",0,0,"22,9",39,"33,3","4,3","6,68","0,13",174,"0,3","0,9",10,"47,3","0,3",157,296,5,"50,3","1,15","30,5",23,"0,53","2,45",0,0,"0,5","0,07","0,28","0,37","0,63","0,28","26,9","0,39"
"Barre pâtissière, préemballé","374,42","14,9","1,59","8,14","2,73","0,94","0,01","0,01","48,6","54,7","26,8","1,4","5,38","1,28",15,"0,05","0,52",0,10,"0,21",190,140,20,512,"0,37",21,"51,6","0,25","3,05","18,2",0,"0,5","0,035","0,039","0,26","0,39","0,015","10,1","0,16"
Barres ou confiserie chocolatées au lait,551,"34,2","16,6","13,4","2,08","0,08","0,01","0,01","9,46","50,9","43,3","1,7","8,75","0,23",116,0,"0,63","9,33",187,0,183,147,0,90,"5,26",166,0,"0,045","5,75",0,0,"1,52","0,08","0,28","0,32","0,71","0,077","6,8","0,68"
Base de pizza à la crème,261,"2,6","0,8",0,0,0,0,0,0,"51,1","1,8",1,"7,7","1,75",9,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Base de pizza tomatée,232,"2,7","0,8",0,0,0,0,0,0,"44,6","1,5",1,"6,9","1,75",12,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basilic, frais","34,8","0,47","0,13",0,0,0,0,0,0,"2,55","0,37","3,47","3,35","0,028",273,"0,39","5,24",0,64,"1,15",56,295,0,12,"0,81",0,3140,0,"0,8",415,0,"14,5","0,034","0,076","0,9","0,21","0,16",68,0
"Basilic, séché",244,"4,07","2,16","1,07",0,"0,3",0,0,0,"10,1","1,71","37,7",23,"0,19",2240,"2,1","89,8",0,711,"9,8",274,2630,0,76,"7,1",0,378,0,"10,7",1710,0,"0,8","0,08","1,2","4,9","0,84","1,34",310,0
"Batavia, crue","17,9","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"1,78","1,1","2,1","1,25","0,015",26,"0,04","0,39",20,"8,7","0,28",17,200,20,6,"0,16",0,891,0,"0,08","20,6",0,"4,38","0,042","0,01","0,2","0,079","0,051","65,6",0
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",245,10,"1,1","4,59","3,61","0,08","0,01","0,01",0,"18,8",0,"5,41","16,9","1,13",70,"0,32","2,5",20,59,1,170,350,20,452,"1,3",0,"8,16","0,25","2,55","2,64",0,"0,5","0,099","0,026","0,4","0,3","0,075","30,3",0
"Baudroie rousse ou Lotte, crue","70,2","0,37","0,084","0,03","0,003","0,00087","0,018","0,084","44,1",0,0,0,"16,7","0,32","1,02","0,1","0,26","41,2","28,7","0,1",149,339,414,127,"0,44","27,5",0,"0,33","0,33",0,0,0,"0,025","0,026","2,43","0,17","0,14",0,"0,46"
Beaufort,410,34,"19,2","5,84","0,61","0,33","0,024",0,0,0,0,0,"26,5","1,27",745,"0,09","0,24","37,3",0,"0,03",788,118,"7,22",506,"4,75",0,100,0,0,0,0,0,0,0,0,0,0,0,0
Beignet à la confiture,378,"18,7","4,84",0,0,0,"0,008","0,01",26,"45,6","19,9","0,9","6,36","0,71","30,8","0,081","1,76",15,"12,7","0,31",85,79,"2,2",283,"0,53",16,8,0,"0,43","7,1",0,0,"0,31","0,14","2,14","0,88","0,1",17,"0,22"
Beignet de crevette,222,10,"0,5",0,0,0,"0,06","0,051",0,26,11,1,"6,5","1,9",77,0,1,22,"18,1",0,0,102,"41,7",770,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beignet de légumes,"182,76","8,52","0,99",0,0,0,0,0,34,23,"3,03","1,95","3,52","0,69","52,4","0,078","0,72","6,62","17,7","0,18","68,1",209,"2,55",275,"0,4","20,1",197,"0,16","2,86",0,0,"13,2","0,058","0,14","0,42","0,39","0,12",43,"0,14"
"Beignet de viande, volaille ou poisson, fait maison, cru",238,"13,5","2,88",0,0,0,"0,037","0,12","85,2",10,"0,92","0,41","18,7","0,71","36,6","0,073","1,23","34,3","25,4","0,082",180,272,"13,9",285,"1,61","22,3","2,48","0,29","2,91",0,0,"0,27","0,1","0,18","3,43","0,62","0,24","15,8","1,13"
"Beignet fourré aux fruits, préemballé",362,16,"6,05",0,0,0,0,0,0,"47,6","14,5","2,15","5,65","0,78",39,0,"0,6",0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beignet fourré goût chocolat, préemballé",420,"22,5","8,41","8,26","4,19","0,65","0,01","0,01","45,2","45,9","18,6","2,6","7,31","0,7",80,"0,19",2,20,32,"0,44",110,180,20,280,"0,83",21,"49,5","0,25","3,18","10,4",0,"0,5","0,15","0,075","0,4","0,49","0,048","24,5","0,28"
"Beignet rond moelleux, sans fourrage, saupoudré de sucre",404,"23,7","9,46","9,12","3,5","0,21","0,01","0,01",19,"39,4","10,7",2,"7,25","1,11",24,"0,09","0,68",20,18,"0,31",140,93,20,444,"0,62",21,"55,5","0,25","4,28","5,43",0,0,"0,14","0,01","0,1","0,42","0,043","30,4","0,089"
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau","16,9","0,3","0,1","0,07","0,04","0,06","0,01","0,01",0,"1,43",1,"2,5","0,88","0,19",60,"0,04","0,52",20,10,"0,34",18,160,20,77,"0,11",0,1260,0,"0,08","8,29",0,"0,5","0,015","0,01","0,1","0,1","0,098","18,3",0
"Bette ou blette, crue","16,4","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"1,63","1,2","1,8",1,"0,57",25,"0,03","0,85",20,17,"0,16",10,300,20,"53,2","0,07",0,"25,9","0,25","0,25","0,8",0,"3,08","0,015","0,015","0,1","0,2","0,036","24,7",0
"Bette ou blette, cuite","14,7","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"1,23","0,8","2,5","0,7","0,25",56,"0,04","0,35",20,18,"0,16",11,240,20,"99,6","0,08",0,"89,2","0,25","0,41",327,0,"0,5","0,015","0,01","0,1","0,17","0,024","43,2",0
"Betterave rouge, crue","45,52","0,24","0,038","0,026","0,078","0,016",0,0,0,"9,1","6,76","2,55","1,74","0,15","22,1","0,098","0,7","0,5",19,"0,46","38,1",328,"0,2","60,5","0,54",0,20,0,"0,06","0,2",0,"6,45","0,028","0,043","0,27","0,15","0,059",100,0
"Betterave rouge, cuite","42,8","0,4","0,15","0,13","0,07","0,01","0,01","0,01",0,"7,13","6,7","2,5","1,44","0,23",24,"0,07","0,29",20,17,"0,31",18,320,20,90,"0,29",0,5,0,"0,08","0,8",0,"0,5","0,015","0,01","0,1","0,14","0,031","12,4",0
"Beurre à 39041% MG, léger, doux",391,"41,7","26,2","9,04","0,61","0,24","0,02","0,01","84,5","3,6","1,26",0,"0,5","0,45",0,0,"0,1",2,0,0,0,0,0,178,0,0,0,0,"1,22",0,0,0,0,0,0,0,0,0,0
"Beurre à 60062% MG, à teneur réduite en matière grasse, demi0sel",555,61,"34,3",0,0,0,0,0,106,"0,5","0,5",0,"0,9","1,13",48,0,"1,09",2,5,0,34,71,0,450,"0,26",456,107,1,"1,58","4,8",0,0,"0,01","0,07","0,02",0,"0,01",1,"0,13"
"Beurre à 60062% MG, à teneur réduite en matière grasse, doux",550,"60,6","40,1","11,8","0,91","0,33","0,03","0,01",181,"0,7","0,2",0,"0,56","0,045",18,"0,01","0,05",20,"1,8","0,01",20,27,20,18,"0,13",660,304,"0,25","1,38",0,0,1,"0,015","0,01","0,1","0,091","0,01",5,"0,1"
"Beurre à 80% MG, demi0sel",738,"81,4","54,9","18,6","1,61","0,45",0,0,218,"0,55","0,39",0,"0,72","1,9","17,8","0,0092","0,13","1,5","4,94","0,0047",24,39,10,762,"0,052",697,158,"1,13","2,11",7,0,0,"0,006","0,035","0,071","0,11","0,003",3,"0,17"
"Beurre à 80% MG, salé",732,"80,8","52,9","16,7","1,16","0,4","0,04","0,01",245,"0,68",0,0,"0,5","2,52",24,"0,01","0,23",20,"7,4","0,01",24,35,20,1010,"0,17",887,0,"0,25","1,77","6,11",0,"0,5","0,015","0,01","0,1","0,05","0,01",5,"0,076"
"Beurre à 82% MG, doux",753,"82,9","55,4","16,2","1,22","0,38","0,01","0,01",218,"0,9","0,83",0,"0,7","0,063","17,8","0,026","0,026","1,5","2,05","0,0018",24,28,10,25,"0,083",675,158,"1,12","2,11",7,15,0,"0,006","0,035","0,071","0,11","0,0035",3,"0,17"
"Beurre à 82% MG, doux, tendre",755,"83,4",0,0,0,0,0,0,0,"0,5",0,0,"0,7","0,055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beurre à teneur en matière grasse inconnue (allégé ou non), demi0sel (aliment moyen)",727,"80,2","53,7","18,6","1,61","0,45",0,0,211,"0,55","0,4",0,"0,73","1,86","19,6","0,0086","0,19","1,53","4,94","0,0047","24,6","40,9",5,743,"0,064",682,155,"1,12","2,08","6,87",0,0,"0,0062","0,037","0,068","0,11","0,0034","2,88","0,17"
Beurre de cacahuète ou Pâte d'arachide,623,"52,5","10,4","25,7","12,9","0,027",0,0,0,"16,1","10,5",5,"22,2","0,97",43,"0,56","1,92","0,5",174,"1,59",333,629,"6,9",388,"2,76",0,0,0,"6,9","0,3",0,0,"0,16","0,15","14,1","1,09","0,47",70,0
